ClientID,CookstoveType,StoveNumber,SigningDate,ContractCheckStatus,DoubleContractCheck,ClientNumberCheck
C105468071,Improved cookstove,DOD/K05202,19/11/2025,Approved,Ok,Ok
C051061107,Improved cookstove,DOD/K05215,19/11/2025,Approved,Ok,Ok
C053575688,Improved cookstove,DOD/K05806,19/11/2025,Approved,Ok,Ok
C105495745,Improved cookstove,DOD/K05269,19/11/2025,Approved,Ok,Ok
C105567482,Improved cookstove,DOD/K05091,19/11/2025,Approved,Ok,Ok
C105470865,Improved cookstove,DOD/K05834,19/11/2025,Approved,Ok,Ok
C051060435,Improved cookstove,DOD/K05546,19/11/2025,Approved,Ok,Ok
C105578093,Improved cookstove,DOD/K07249,19/11/2025,Approved,Ok,Ok
C105575356,Improved cookstove,DOD/K05451,19/11/2025,Approved,Ok,Ok
C105467835,Improved cookstove,DOD/K05066,19/11/2025,Approved,Ok,Ok
C051007905,Improved cookstove,DOD/K05267,19/11/2025,Approved,Ok,Ok
C053573692,Improved cookstove,DOD/K05332,19/11/2025,Approved,Ok,Ok
C051054588,Improved cookstove,DOD/K05216,19/11/2025,Approved,Ok,Ok
C105492226,Improved cookstove,DOD/K05390,19/11/2025,Approved,Ok,Ok
C105576453,Improved cookstove,DOD/K05993,19/11/2025,Approved,Ok,Ok
C051054648,Improved cookstove,DOD/K05059,19/11/2025,Approved,Ok,Ok
C053642668,Improved cookstove,DOD/K05160,19/11/2025,Approved,Ok,Ok
C105495443,Improved cookstove,DOD/K07605,19/11/2025,Approved,Ok,Ok
C105497456,Improved cookstove,DOD/K05019,19/11/2025,Approved,Ok,Ok
C105465333,Improved cookstove,DOD/K05452,19/11/2025,Approved,Ok,Ok
C046629973,Improved cookstove,DOD/K05514,19/11/2025,Approved,Ok,Ok
C105500188,Improved cookstove,DOD/K05578,19/11/2025,Approved,Ok,Ok
C105466811,Improved cookstove,DOD/K05979,19/11/2025,Approved,Ok,Ok
C105588305,Improved cookstove,DOD/K05415,19/11/2025,Approved,Ok,Ok
C053573170,Improved cookstove,DOD/K05375,19/11/2025,Approved,Ok,Ok
C051057842,Improved cookstove,DOD/K05548,19/11/2025,Approved,Ok,Ok
C105587818,Improved cookstove,DOD/K05565,19/11/2025,Approved,Ok,Ok
C051008483,Improved cookstove,DOD/K05596,19/11/2025,Approved,Ok,Ok
C105471053,Improved cookstove,DOD/K05097,19/11/2025,Approved,Ok,Ok
C051053978,Improved cookstove,DOD/K05169,19/11/2025,Approved,Ok,Ok
C105575805,Improved cookstove,DOD/K05582,19/11/2025,Approved,Ok,Ok
C105471850,Improved cookstove,DOD/K05260,19/11/2025,Approved,Ok,Ok
C053719935,Improved cookstove,DOD/K05453,19/11/2025,Approved,Ok,Ok
C053719668,Improved cookstove,DOD/K05680,19/11/2025,Approved,Ok,Ok
C053577173,Improved cookstove,DOD/K05568,19/11/2025,Approved,Ok,Ok
C105562007,Improved cookstove,DOD/K05405,19/11/2025,Approved,Ok,Ok
C105499425,Improved cookstove,DOD/K05446,19/11/2025,Approved,Ok,Ok
C053577117,Improved cookstove,DOD/K05636,19/11/2025,Approved,Ok,Ok
C051055707,Improved cookstove,DOD/K05134,19/11/2025,Approved,Ok,Ok
C105573185,Improved cookstove,DOD/K05949,19/11/2025,Approved,Ok,Ok
C105495268,Improved cookstove,DOD/K05714,19/11/2025,Approved,Ok,Ok
C105569471,Improved cookstove,DOD/K05580,19/11/2025,Approved,Ok,Ok
C053575240,Improved cookstove,DOD/K05906,19/11/2025,Approved,Ok,Ok
C105494384,Improved cookstove,DOD/K05977,19/11/2025,Approved,Ok,Ok
C105572879,Improved cookstove,DOD/K05368,19/11/2025,Approved,Ok,Ok
C105582880,Improved cookstove,DOD/K05550,19/11/2025,Approved,Ok,Ok
C053718344,Improved cookstove,DOD/K05302,19/11/2025,Approved,Ok,Ok
C050987523,Improved cookstove,DOD/K05301,19/11/2025,Approved,Ok,Ok
C051053907,Improved cookstove,DOD/K05135,19/11/2025,Approved,Ok,Ok
C053642967,Improved cookstove,DOD/K05191,19/11/2025,Approved,Ok,Ok
C105558287,Improved cookstove,DOD/K05443,19/11/2025,Approved,Ok,Ok
C105499191,Improved cookstove,DOD/K05156,19/11/2025,Approved,Ok,Ok
C053718407,Improved cookstove,DOD/K05325,19/11/2025,Approved,Ok,Ok
C096943779,Improved cookstove,DOD/K05391,19/11/2025,Approved,Ok,Ok
C105582134,Improved cookstove,DOD/K05970,19/11/2025,CheckNotPassed,Ok,2 Wrong
C046627873,Improved cookstove,DOD/K05914,19/11/2025,Approved,Ok,Ok
C105495505,Improved cookstove,DOD/K06456,19/11/2025,Approved,Ok,Ok
C046628125,Improved cookstove,DOD/K05342,19/11/2025,Approved,Ok,Ok
C105587089,Improved cookstove,DOD/K06007,19/11/2025,Approved,Ok,Ok
C050988415,Improved cookstove,DOD/K06015,19/11/2025,Approved,Ok,Ok
C046626156,Improved cookstove,DOD/K07127,19/11/2025,Approved,Ok,Ok
C053719727,Improved cookstove,DOD/K07137,19/11/2025,CheckNotPassed,Ok,Ok
C053640443,Improved cookstove,DOD/K07528,19/11/2025,Approved,Ok,Ok
C105464699,Improved cookstove,DOD/K07601,19/11/2025,Approved,Ok,Ok
C046627806,Improved cookstove,DOD/K07232,19/11/2025,Approved,Ok,Ok
